"","ID","PREMIUM","TIV","BLDG_LIMIT","DED","POSTALCODE","CITY","DISTRICT","COUNTYCODE","COUNTY","STATECODE","STATE","CRESTA","SUBCRESTA","COUNTRY","LATITUDE","LONGITUDE","ADDRMATCH","NUMBLDGS","BLDGSCHEME","BLDGCLASS","OCCSCHEME","OCCTYPE","NUMSTORIES","YEARBUILT","ELEVATION","DISTCOAST","WINDPOOL","NFIP_RATE","NFIPYEAR","ROOFSYS","ROOFGEOM","ROOFANCH","ROOFAGE","CLADSYS","FRAMEBOLT","CLADDING","EQSLINS","LANDSLIDE","LANDCOV","LIQUEFACT","LIQUECOV","SOILTYPE","SOILCOV","SOILPERIOD","SOILTHICKNESS","dis_min","wind_min","wind_speed","Loss"
"80","F102805",5100,670796,670796,15300,"33578","RIVERVIEW","","057","HILLSBOROUGH COUNTY","FL","FLORIDA","","","US",27.882071,-82.356341,2,"1","RMS","2","ATC",2,2,"2006","17.3889999389648","2.46929311019719","0","0.100000001490116","1975","7","4","3","2","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",145.556399321071,120.855,35,-20400
"83","A1028248",2099,307575,276139,1000,"44675","SHERRODSVILLE","","157","TUSCARAWAS COUNTY","OH","OHIO","","35420","US",40.51269,-81.30117,2,"1","RMS","1","ATC",1,1,"2007","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",494.806861720631,74.815,35,-3099
"84","A1028276",1800,497178,236752,3600,"70791","ZACHARY","","033","EAST BATON ROUGE PARISH","LA","LOUISIANA","","","US",30.650786,-91.154897,2,"1","RMS","1","ATC",1,1,"1955","102.569999694824","68.9959716796875","0","0","1975","0","0","0","0","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",624.271496268317,109.345,35,-5400
"85","A1028307",1500,348551,197293,1000,"28716","CANTON","","087","HAYWOOD COUNTY","NC","NORTH CAROLINA","","","US",35.481737,-82.876725,2,"1","RMS","2","ATC",1,1,"1971","2864.03002929688","243.964904785156","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",262.684404238652,74.815,35,-2500
"86","F102836",4330,569519,569519,12990,"33578","RIVERVIEW","","057","HILLSBOROUGH COUNTY","FL","FLORIDA","","45300","US",27.88031,-82.35064,2,"1","RMS","2","ATC",2,2,"2006","19.0109996795654","2.82128217038673","0","0.100000001490116","1975","7","4","3","2","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",145.231960991952,120.855,35,-17320
"87","B102838",4330,569519,569519,12990,"33578","RIVERVIEW","","057","HILLSBOROUGH COUNTY","FL","FLORIDA","","45300","US",27.88039,-82.3509,2,"1","RMS","2","ATC",2,2,"2006","19.0109996795654","2.80513365292604","0","0.100000001490116","1975","7","4","3","2","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",145.246756468983,120.855,35,-17320
"88","A1028466",987,178526,129819,500,"28262","CHARLOTTE","","119","MECKLENBURG COUNTY","NC","NORTH CAROLINA","","","US",35.303354,-80.79248,2,"1","RMS","1","ATC",1,1,"1997","710.179992675781","156.285202026367","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",178.183344923962,74.815,35,-1487
"89","A1028476",2624,369221,345065,1000,"28036","DAVIDSON","","119","MECKLENBURG COUNTY","NC","NORTH CAROLINA","","","US",35.506466,-80.847679,2,"1","RMS","1","ATC",1,1,"1999","848.510009765625","170.134063720703","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",191.415342301527,74.815,35,-3624
"90","A1028497",3441,409099,452584,500,"28079","INDIAN TRAIL","","179","UNION COUNTY","NC","NORTH CAROLINA","","","US",35.059252,-80.680326,2,"1","RMS","1","ATC",1,1,"2005","695.609985351563","137.86213684082","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",160.26684820422,74.815,35,-3941
"91","B102855",4330,569519,569519,12990,"33578","RIVERVIEW","","057","HILLSBOROUGH COUNTY","FL","FLORIDA","","45300","US",27.88237,-82.34987,2,"1","RMS","2","ATC",2,2,"2006","20.2320003509521","2.86511600670978","0","0.100000001490116","1975","7","4","3","2","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",145.162494568714,120.855,35,-17320
"92","B102865",4330,569519,569519,12990,"33578","RIVERVIEW","","057","HILLSBOROUGH COUNTY","FL","FLORIDA","","45300","US",27.88074,-82.35087,2,"1","RMS","2","ATC",2,2,"2006","19.0109996795654","2.8059506139302","0","0.100000001490116","1975","7","4","3","2","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",145.241031319773,120.855,35,-17320
"95","B102876",4330,569519,569519,12990,"33578","RIVERVIEW","","057","HILLSBOROUGH COUNTY","FL","FLORIDA","","45300","US",27.88157,-82.3511,2,"1","RMS","2","ATC",2,2,"2006","19.0650005340576","2.79029878368028","0","0.100000001490116","1975","7","4","3","2","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",145.245645227114,120.855,35,-17320
"97","F102878",4330,569519,569519,12990,"33578","RIVERVIEW","","057","HILLSBOROUGH COUNTY","FL","FLORIDA","","45300","US",27.88204,-82.3514,2,"1","RMS","2","ATC",2,2,"2006","19.5739994049072","2.77156411666482","0","0.100000001490116","1975","7","4","3","2","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",145.258514506383,120.855,35,-17320
"98","A1028795",500,132186,65764,1000,"63136","SAINT LOUIS","","189","ST. LOUIS COUNTY","MO","MISSOURI","","","US",38.732713,-90.274946,2,"1","RMS","1","ATC",1,1,"1950","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",721.101565932122,103.59,35,-1500
"99","B10288",147318,7750620,7750618,0,"19151","PHILADELPHIA","","101","PHILADELPHIA COUNTY","PA","PENNSYLVANIA","","37980","US",39.98591,-75.24857,2,"1","RMS","2","NAICS",813910,1,"9999","215.169998168945","24.5977802276611","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",341.807745022689,74.815,35,-147318
"100","A1028809",1815,278417,238692,500,"28081","KANNAPOLIS","","159","ROWAN COUNTY","NC","NORTH CAROLINA","","","US",35.523532,-80.69452,2,"1","RMS","1","ATC",1,1,"1990","825.090026855469","162.624526977539","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",185.379472943728,74.815,35,-2315
"101","A1028896",250,58201,32882,1000,"29150","SUMTER","","085","SUMTER COUNTY","SC","SOUTH CAROLINA","","","US",33.953582,-80.381415,2,"1","RMS","1","ATC",1,1,"1953","180.440002441406","78.6558990478516","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",86.9481416368237,74.815,35,-1250
